study,site,rain,As,Cu,Pb,Zn
Connor 2017,average reference ,766.2,28.7,10.0,0.0,13.0
Connor 2017,average leachate UT,766.2,12200.0,97.0,79.0,160000.0
Connor 2017,average leachate LT,766.2,199.0,7800.0,204.0,10330.0
Connor 2017,average mine water at creek,766.2,526.3,1390.8,145.0,47750.0
Connor 2018,average reference ,237.4,4.0,5160.0,125.0,16600.0
Connor 2018,average leachate UT,237.4,,,,
Connor 2018,average leachate LT,237.4,22.0,28400.0,47.0,32100.0
Connor 2018,average mine water at creek,237.4,129.8,6773.8,614.6,46780.0
Ashelford 2016,average reference ,458,,,,
Ashelford 2016,average leachate UT,458,769.0,1650.0,0.0,25925.0
Ashelford 2016,average leachate LT,458,115.0,221.0,0.0,2116.0
Ashelford 2016,average mine water at creek,458,,,,
Brooks 97 low,average reference ,490.6,0.0,0.0,0.0,0.0
Brooks 97 low,average leachate UT,490.6,9000.0,1000.0,800.0,230000.0
Brooks 97 low,average leachate LT,490.6,,,,
Brooks 97 low,average mine water at creek,490.6,3530.0,700.0,200.0,9500.0
Brooks 97 high,average reference ,490.6,0.0,0.0,0.0,0.0
Brooks 97 high,average leachate UT,490.6,65000.0,62000.0,4200.0,950000.0
Brooks 97 high,average leachate LT,490.6,,,,
Brooks 97 high,average mine water at creek,490.6,7345.0,4900.0,1550.0,57500.0
Koehring 2022,average reference ,356.6,2.5,0.5,0.3,6.5
Koehring 2022,average leachate UT,356.6,5250.0,5250.0,5250.0,5250.0
Koehring 2022,average leachate LT,356.6,37.0,490.0,110.0,4600.0
Koehring 2022,average mine water at creek,356.6,26.8,341.8,65.2,3534.0
Gore 2003,average reference ,204.5,2.7,3.3,1.55,12.5
Gore 2003,average leachate UT,204.5,8600,2500,89,480000
Gore 2003,average leachate LT,204.5,,,,
Gore 2003,average mine water at creek,204.5,65.28,3726.64,1033,21775
