sample,site,label,distance_R1,lon,lat,location,,,data_sampled,,date_analysed,,metal,value_ug,value_mg,value
Con22_Low Slag,LowSlag,LS,1435,6685100.703,308762.195,Lower slag meine,18,0,15.09.2022,Water,13.10.2022,,As (mg/L),9,0.009,9
Con22_Low Slag,LowSlag,LS,1435,6685100.703,308762.195,Lower slag meine,18,0,15.09.2022,Water,13.10.2022,,Cu (mg/L),1000,1,1000
Con22_Low Slag,LowSlag,LS,1435,6685100.703,308762.195,Lower slag meine,18,0,15.09.2022,Water,13.10.2022,,Pb (mg/L),110,0.11,110
"NO SAMPLE - just water
data ",LowSlag,LS,1435,6685100.703,308762.195,,,,,,,,pH,7.6,7.6,7.6
CON22_GP3_W1 ,W1,Con22_G3_W1,554,6684464,309359,,,,,,,,pH,4.4,4.4,4.4
Con22_G1_R1,R1,R Borah Creek,0,6684977,309742,Reference Borah Creek,2,0,13.09.2022,Water,13.10.2022,,As (mg/L),2,0.002,2
Con22_G3_R1,R1,R Borah Creek,0,6684977,309742,Reference Borah Creek,19,0,14.09.2022,Water,13.10.2022,,As (mg/L),2,0.002,2
Con22_G1_R1,R1,R Borah Creek,0,6684977,309742,Reference Borah Creek,2,0,13.09.2022,Water,13.10.2022,,Cu (mg/L),0,0,<1
Con22_G3_R1,R1,R Borah Creek,0,6684977,309742,Reference Borah Creek,19,0,14.09.2022,Water,13.10.2022,,Cu (mg/L),0,0,<1
Con22_G1_R1,R1,R Borah Creek,0,6684977,309742,Reference Borah Creek,2,0,13.09.2022,Water,13.10.2022,,Pb (mg/L),0,0,<1
Con22_G3_R1,R1,R Borah Creek,0,6684977,309742,Reference Borah Creek,19,0,14.09.2022,Water,13.10.2022,,Pb (mg/L),0,0,<1
CON22_GP2_R1 ,R1,Con22_G2_R1,0,6684977,309742,,,,,,,,pH,4.6,4.6,4.6
CON22_G4_R1 ,R1,Con22_G4_R1,0,6684977,309742,,,,,,,,pH,7.9,7.9,7.9
Con22_G1_R1,R1,R Borah Creek,0,6684977,309742,Reference Borah Creek,2,0,13.09.2022,Water,13.10.2022,,Zn (mg/L),8,0.008,8
Con22_G3_R1,R1,R Borah Creek,0,6684977,309742,Reference Borah Creek,19,0,14.09.2022,Water,13.10.2022,,Zn (mg/L),5,0.005,5
Con22_G2_R2,R2,R Maid's Creek ,0,6685011,308197,Reference Maids Creek,3,0,13.09.2022,Water,13.10.2022,,As (mg/L),3,0.003,3
Con22_G4_R2,R2,R Maid's Creek ,0,6685011,308197,Reference Maids Creek,4,0,14.09.2022,Water,13.10.2022,,As (mg/L),3,0.003,3
Con22_G2_R2,R2,R Maid's Creek ,0,6685011,308197,Reference Maids Creek,3,0,13.09.2022,Water,13.10.2022,,Cu (mg/L),1,0.001,1
Con22_G4_R2,R2,R Maid's Creek ,0,6685011,308197,Reference Maids Creek,4,0,14.09.2022,Water,13.10.2022,,Cu (mg/L),1,0.001,1
Con22_G2_R2,R2,R Maid's Creek ,0,6685011,308197,Reference Maids Creek,3,0,13.09.2022,Water,13.10.2022,,Pb (mg/L),1,0.001,1
